turn,nodes_added_to_graph,nodes_added_to_graph_std,edges_added_to_graph,edges_added_to_graph_std,total_nodes_in_graph,total_nodes_in_graph_std,total_edges_in_graph,total_edges_in_graph_std,native_node_precision,native_node_precision_std,native_node_recall,native_node_recall_std,native_edge_precision,native_edge_precision_std,native_edge_recall,native_edge_recall_std,native_degree_weighted_node_coverage,native_degree_weighted_node_coverage_std,evaluation_node_precision,evaluation_node_precision_std,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_precision,evaluation_edge_pair_precision_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
23,6.333333333333333,1.5275252316519468,13.333333333333334,2.309401076758503,384.3333333333333,25.813433195399124,519.3333333333334,93.60733589486101,0.8804705923482937,0.06368288270447434,0.288058856819468,0.039309802141800465,0.9244455733337635,0.10751230042627859,0.15703655066754213,0.03139567832570457,0.5589672016748081,0.0373672660026318,0.8804705923482937,0.06368288270447434,0.288058856819468,0.039309802141800465,0.9244455733337634,0.10751230042627866,0.15703655066754213,0.031395678325704585,0.3528502996495437,0.0467085126488952,0.1617892541462682,0.030903936159825812,0.4377105188208478,0.04425842507653687
24,7.333333333333333,8.736894948054104,16.666666666666668,18.175074506954115,391.6666666666667,34.06366588218792,536.0,109.34349546269316,0.8817308252043676,0.06470012227139088,0.2942840973401245,0.04668415879455425,0.9230076442932316,0.11059456712507616,0.16196104180345808,0.0376705988276305,0.5621656199116074,0.040905871862429756,0.8817308252043676,0.0647001222713909,0.2942840973401245,0.04668415879455425,0.9230076442932315,0.11059456712507613,0.16196104180345808,0.03767059882763052,0.35771509939437984,0.051219412031143136,0.16691186502654354,0.03742640121923878,0.44222565845026857,0.04859038445746849
25,10.666666666666666,15.88500340992514,22.666666666666668,16.563010998406458,402.3333333333333,29.022979401386987,558.6666666666666,106.80979980008077,0.8863323758011059,0.058637194405771434,0.3033389926428976,0.03880239890531284,0.9278442135851078,0.10300086615795873,0.16940249507550886,0.03400871310198333,0.5694929053268202,0.0381911552928927,0.8863323758011059,0.05863719440577142,0.3033389926428976,0.03880239890531284,0.9278442135851078,0.1030008661579588,0.16940249507550886,0.03400871310198333,0.36813790692645054,0.04443848426147516,0.17466232065291498,0.033648020565754166,0.45147714398204497,0.04361457091660584
26,4.333333333333333,4.041451884327381,14.0,13.0,406.6666666666667,25.696951829610715,572.6666666666666,93.92727683337431,0.8876504051270327,0.05816991428972542,0.30701754385964913,0.03700578341535179,0.9289377089003581,0.10203309964394335,0.17399868680236374,0.03095952202789439,0.5760642009769714,0.032652774247424056,0.8876504051270327,0.05816991428972542,0.30701754385964913,0.03700578341535179,0.9289377089003581,0.10203309964394335,0.17399868680236377,0.03095952202789441,0.3731935363781151,0.041782524073586916,0.17944022944054944,0.03030993405867639,0.45763727915929797,0.03981475600610618
27,12.333333333333334,9.073771725877465,14.666666666666666,11.930353445448855,419.0,22.538855339169288,587.3333333333334,89.1870693168765,0.8891413715383752,0.05797127702575017,0.31692133559705715,0.03721937344491601,0.9293702358850172,0.10213384830827825,0.17881374480192602,0.032009332682039,0.5825191905094208,0.03068547970159219,0.8891413715383754,0.05797127702575022,0.31692133559705715,0.03721937344491597,0.9293702358850172,0.10213384830827825,0.17881374480192602,0.03200933268203901,0.3833035609366392,0.0407625591973542,0.18394404512382312,0.031209678250343237,0.466422937436042,0.03851094459393294
28,14.0,19.924858845171276,25.0,35.679125549822544,433.0,42.43819034784589,612.3333333333334,116.00574698407547,0.8902736393079079,0.05845205773592993,0.32852292020373514,0.0534804753820034,0.9298230003343267,0.10226670349099592,0.1870212300284526,0.04360618698004698,0.589090486159572,0.04130607308200484,0.8902736393079079,0.05845205773592993,0.32852292020373514,0.0534804753820034,0.9298230003343267,0.10226670349099586,0.1870212300284526,0.04360618698004697,0.39311660213511895,0.05665961864378082,0.1924831543130946,0.043409267224023725,0.4750857603228865,0.05295247639475445
29,8.333333333333334,11.015141094572204,10.0,16.46207763315433,441.3333333333333,37.31398308052,622.3333333333334,116.50894100168165,0.8932595592415656,0.054792831096412,0.3355970571590266,0.047540726749909765,0.9326752741418348,0.09735260481949247,0.19030422411906325,0.041132304415976643,0.5945568736915562,0.03765571095540451,0.8932595592415656,0.054792831096412004,0.3355970571590266,0.047540726749909765,0.9326752741418348,0.09735260481949247,0.19030422411906325,0.041132304415976643,0.4002271688178814,0.051625957613577904,0.19552163000544165,0.041223073283844364,0.4818755865297628,0.04828053351841608
30,12.666666666666666,15.947831618540915,28.0,33.15116890850155,454.0,37.986839826445156,650.3333333333334,128.85780276464956,0.8971032888573102,0.05044052962045976,0.3463497453310696,0.04367487595723791,0.938369242407698,0.08774109885988329,0.19949660757277302,0.03967988785142458,0.6016515468713655,0.03756440038019608,0.89710328885731,0.05044052962045977,0.3463497453310696,0.04367487595723791,0.938369242407698,0.08774109885988329,0.19949660757277302,0.03967988785142458,0.41073761483109583,0.04875531324876801,0.20489456623138305,0.040118627867860676,0.4909864320294192,0.04677906272765423
31,6.0,5.5677643628300215,20.666666666666668,17.7857620959388,460.0,32.7414110874898,671.0,111.07204868912791,0.8981207199966866,0.05005483167196029,0.3511601584606678,0.039089199795670396,0.9397293285881808,0.0863542570898215,0.2062814620267017,0.034676147522939946,0.6046173528727611,0.03418880597265792,0.8981207199966866,0.05005483167196029,0.3511601584606678,0.039089199795670396,0.9397293285881808,0.0863542570898215,0.2062814620267017,0.03467614752293992,0.41562117661696557,0.043602069969164554,0.21167470785022333,0.03483861290662439,0.4947826527027287,0.04264001028727897
32,7.666666666666667,9.291573243177568,11.0,7.810249675906654,467.6666666666667,23.459184413217212,682.0,103.28601066940286,0.9001694512868292,0.04890890301461195,0.3576683644595359,0.03243998978452517,0.9404166468963374,0.08560887801764511,0.20989275552637338,0.03268901686440427,0.6099092812281927,0.027920009701063925,0.9001694512868292,0.04890890301461195,0.3576683644595359,0.03243998978452517,0.9404166468963374,0.08560887801764511,0.20989275552637338,0.03268901686440427,0.42276704556114647,0.035584390793485916,0.2154386044163984,0.0325745667786459,0.5013186293794543,0.03503565378262572
33,10.333333333333334,8.621678104251709,17.0,8.717797887081348,478.0,20.808652046684813,699.0,105.88673193559238,0.8985624285342061,0.04662940744356876,0.3647425014148274,0.027603278773643915,0.9424410516269617,0.08244216182796062,0.21547384548041149,0.03178293239276092,0.615840893230984,0.025298385285867704,0.8985624285342061,0.04662940744356876,0.3647425014148274,0.02760327877364392,0.9424410516269617,0.08244216182796062,0.21547384548041149,0.03178293239276092,0.4304392391301113,0.03176788888498501,0.22118525020966442,0.03155383264549251,0.5082213807173377,0.031458596803857715
