turn,mode,novelty,nodes_added_to_graph,edges_added_to_graph,total_nodes_in_graph,total_edges_in_graph,native_node_precision,native_node_recall,native_edge_precision,native_edge_recall,native_degree_weighted_node_coverage,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank,evaluation_node_autc_rank
56,exploit,0.08695652173913043,2.0,0.0,627.0,1032.0,0.8915470494417863,0.47453310696095075,0.8866279069767442,0.30039395929087326,0.7030704815073272,0.8915470494417863,0.47453310696095075,0.8866279069767442,0.30039395929087326,0.5470596425534927,0.30762265742726674,0.6176157679191795
57,exploit,0.3442622950819672,3.0,18.0,630.0,1050.0,0.8920634920634921,0.4770797962648557,0.8885714285714286,0.3063033486539724,0.7046406140963015,0.8920634920634921,0.4770797962648557,0.8885714285714286,0.3063033486539724,0.5503842268508492,0.31340409900438265,0.6203944138008092
58,exploit,0.04081632653061226,1.0,3.0,631.0,1053.0,0.8922345483359746,0.4779286926994907,0.8888888888888888,0.30728824688115564,0.7048150732728541,0.8922345483359746,0.4779286926994907,0.8888888888888888,0.30728824688115564,0.5506345519772708,0.3143135203901766,0.6205895311038514
59,exploit,0.0,0.0,0.0,631.0,1053.0,0.8922345483359746,0.4779286926994907,0.8888888888888888,0.30728824688115564,0.7048150732728541,0.8922345483359746,0.4779286926994907,0.8888888888888888,0.30728824688115564,0.5506345519772708,0.3143135203901766,0.6205895311038514
60,exploit,0.2773109243697479,11.0,22.0,642.0,1075.0,0.8940809968847351,0.4872665534804754,0.8911627906976745,0.314510833880499,0.7107466852756456,0.8940809968847352,0.4872665534804754,0.8911627906976745,0.314510833880499,0.5584412891299632,0.3219905691216718,0.6279834249688965
61,exploit,0.7586206896551724,14.0,33.0,656.0,1108.0,0.8963414634146342,0.499151103565365,0.894404332129964,0.3253447143795141,0.7215631542219121,0.8963414634146342,0.499151103565365,0.894404332129964,0.3253447143795141,0.5733067504836148,0.3325022533322301,0.6422736098796004
62,explore,0.1304347826086957,2.0,2.0,658.0,1110.0,0.8966565349544073,0.5008488964346349,0.8945945945945946,0.32600131319763626,0.7220865317515701,0.8966565349544073,0.5008488964346349,0.8945945945945946,0.32600131319763626,0.5741947381362169,0.33298359500881913,0.6430772068327115
63,exploit,0.6307692307692307,12.0,29.0,670.0,1139.0,0.8985074626865671,0.5110356536502547,0.897278314310799,0.3355219960604071,0.7315073272854152,0.8985074626865671,0.5110356536502547,0.897278314310799,0.3355219960604071,0.5878152393197066,0.3425190133014509,0.6564721085938919
64,explore,0.09756097560975611,1.0,4.0,671.0,1143.0,0.8986587183308494,0.5118845500848896,0.8976377952755905,0.3368351936966513,0.7316817864619679,0.8986587183308494,0.5118845500848896,0.8976377952755905,0.3368351936966513,0.5880655644461281,0.34380996740489633,0.6566068772712712
65,exploit,0.37333333333333335,10.0,18.0,681.0,1161.0,0.9001468428781204,0.5203735144312394,0.8992248062015504,0.3427445830597505,0.7412770411723657,0.9001468428781204,0.5203735144312394,0.8992248062015504,0.3427445830597505,0.599645693667217,0.3497058687973076,0.6688362540599821
66,exploit,0.6808510638297872,9.0,24.0,690.0,1185.0,0.9014492753623189,0.5280135823429541,0.90126582278481,0.350623768877216,0.7463363572923936,0.9014492753623189,0.5280135823429541,0.9012658227848102,0.350623768877216,0.608892911207158,0.357262505803112,0.6763520712248359
67,exploit,0.5384615384615384,9.0,26.0,699.0,1211.0,0.9027181688125894,0.5356536502546689,0.9033856317093312,0.35915955351280365,0.7533147243545011,0.9027181688125894,0.5356536502546689,0.9033856317093312,0.35915955351280365,0.6166315125266233,0.36598281759775353,0.6833887881391228
68,explore,0.1509433962264151,0.0,8.0,699.0,1219.0,0.9027181688125894,0.5356536502546689,0.904019688269073,0.3617859487852922,0.7533147243545011,0.9027181688125894,0.5356536502546689,0.904019688269073,0.3617859487852922,0.6166315125266233,0.36879395066140946,0.6833887881391228
69,explore,0.2692307692307692,7.0,0.0,706.0,1219.0,0.8994334277620396,0.5390492359932089,0.904019688269073,0.3617859487852922,0.7545359385903698,0.8994334277620396,0.5390492359932089,0.904019688269073,0.3617859487852922,0.6187289112190079,0.36879395066140946,0.6848850291745511
70,exploit,0.1724137931034483,3.0,5.0,709.0,1224.0,0.8998589562764459,0.5415959252971138,0.9044117647058824,0.3634274458305975,0.7576762037683182,0.8998589562764457,0.5415959252971138,0.9044117647058824,0.3634274458305975,0.622719301104095,0.37035289334573324,0.6886686092096829
71,exploit,0.06593406593406595,5.0,1.0,714.0,1225.0,0.8935574229691877,0.5415959252971138,0.9044897959183673,0.3637557452396586,0.7576762037683182,0.8935574229691877,0.5415959252971138,0.9044897959183673,0.3637557452396586,0.622719301104095,0.370704971737582,0.6886686092096829
72,explore,0.22580645161290325,0.0,14.0,714.0,1239.0,0.8935574229691877,0.5415959252971138,0.9055690072639225,0.36835193696651347,0.7576762037683182,0.8935574229691877,0.5415959252971138,0.9055690072639225,0.36835193696651347,0.622719301104095,0.37563315354494214,0.6886686092096829
73,exploit,0.1475409836065574,4.0,7.0,718.0,1246.0,0.8941504178272982,0.5449915110356537,0.9060995184590691,0.3706500328299409,0.7599441730635031,0.8941504178272981,0.5449915110356537,0.906099518459069,0.3706500328299409,0.6269333542678195,0.37809129253822676,0.6922297986113436
74,exploit,0.2909090909090909,2.0,16.0,720.0,1262.0,0.8930555555555556,0.5458404074702886,0.9001584786053882,0.37294812869336835,0.7601186322400558,0.8930555555555556,0.5458404074702886,0.9001584786053882,0.37294812869336835,0.6271836793942411,0.37976896820428374,0.6922583664140619
75,exploit,0.07692307692307696,2.0,4.0,722.0,1266.0,0.8933518005540166,0.5475382003395586,0.9004739336492891,0.3742613263296126,0.7608164689462665,0.8933518005540166,0.5475382003395586,0.9004739336492891,0.3742613263296126,0.628459004446602,0.3808531315747623,0.6931713031341825
76,exploit,0.01612903225806453,0.0,1.0,722.0,1267.0,0.8933518005540166,0.5475382003395586,0.9005524861878453,0.37458962573867366,0.7608164689462665,0.8933518005540166,0.5475382003395586,0.9005524861878453,0.37458962573867366,0.628459004446602,0.3812064308713075,0.6931713031341825
77,exploit,0.06666666666666667,2.0,6.0,724.0,1273.0,0.893646408839779,0.5492359932088285,0.9010212097407698,0.3765594221930401,0.7613398464759247,0.893646408839779,0.5492359932088285,0.9010212097407698,0.37655942219304006,0.6296965585479347,0.38302908897007193,0.6941209464500677
78,exploit,0.4537037037037037,6.0,43.0,730.0,1316.0,0.8945205479452055,0.5543293718166383,0.9042553191489362,0.3906762967826658,0.7648290300069783,0.8945205479452055,0.5543293718166383,0.9042553191489362,0.3906762967826658,0.6349415364926617,0.39706567765246836,0.6983637387004766
79,exploit,0.0,0.0,0.0,730.0,1316.0,0.8945205479452055,0.5543293718166383,0.9042553191489362,0.3906762967826658,0.7648290300069783,0.8945205479452055,0.5543293718166383,0.9042553191489362,0.3906762967826658,0.6349415364926617,0.39706567765246836,0.6983637387004766
80,exploit,0.4117647058823529,14.0,0.0,744.0,1316.0,0.8965053763440861,0.566213921901528,0.9042553191489362,0.3906762967826658,0.7779134682484299,0.896505376344086,0.566213921901528,0.9042553191489362,0.3906762967826658,0.6502943171752643,0.39706567765246836,0.7125963137349638
81,exploit,0.2782608695652174,11.0,29.0,755.0,1345.0,0.8980132450331125,0.5755517826825127,0.9040892193308551,0.3992120814182535,0.7847173761339846,0.8980132450331125,0.5755517826825127,0.9040892193308551,0.39921208141825343,0.6597059494432099,0.40554928654907896,0.7207513889913071
82,exploit,0.5520833333333334,15.0,44.0,770.0,1389.0,0.9,0.5882852292020373,0.9071274298056156,0.41365725541694026,0.7923935799023029,0.9,0.5882852292020373,0.9071274298056156,0.41365725541694026,0.6734123610251167,0.4196118194562749,0.7321104434026929
83,exploit,0.13888888888888895,4.0,6.0,774.0,1395.0,0.900516795865633,0.5916808149405772,0.9075268817204301,0.4156270518713066,0.7943126308443824,0.900516795865633,0.5916808149405772,0.9075268817204301,0.4156270518713066,0.6756852835487493,0.42152833460358163,0.7348007079635788
84,exploit,0.5849056603773586,29.0,2.0,803.0,1397.0,0.8742216687422167,0.5959252971137521,0.9076592698639943,0.41628365068942874,0.796231681786462,0.8742216687422167,0.5959252971137521,0.9076592698639943,0.41628365068942874,0.6791002218858203,0.4222361541013686,0.7375230132819428
85,exploit,0.05405405405405404,0.0,2.0,803.0,1399.0,0.8742216687422167,0.5959252971137521,0.9077912794853467,0.4169402495075509,0.796231681786462,0.8742216687422167,0.5959252971137521,0.9077912794853467,0.4169402495075509,0.6791002218858203,0.42288842243546554,0.7375230132819428
