turn,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_node_tsc_raw,evaluation_node_tsc_raw_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_edge_tsc_raw,evaluation_edge_tsc_raw_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
41,0.46434634974533107,0.03778304428568401,0.28988837820091923,0.0313160468067984,0.5458331975554028,0.05005368502374842,0.6550981868118154,0.03908326308171515,0.29534289973208216,0.03225725608702468,0.29996661706896144,0.04151022281710165,0.6247583467024436,0.0483385105700586
42,0.47594793435200905,0.03655515352141297,0.29711096520026264,0.03534825822538159,0.557273105206662,0.04567981031199983,0.6630815935856189,0.03625530967500674,0.30280201697525494,0.03664423514301711,0.3079440334175899,0.04629033409570331,0.6340705164359113,0.044370649192631645
43,0.4779286926994907,0.03445097434244997,0.2999562267454585,0.0343545109646868,0.5586298970161423,0.04496413909854992,0.664124795048687,0.03545482924413076,0.30567210956154517,0.03560027870223784,0.3107131355320087,0.04427707730839585,0.6350826641935029,0.04393153259653516
44,0.48047538200339557,0.030876966858188824,0.30247318888159336,0.0320833246537357,0.5614716056258454,0.040277363334853294,0.666262920755973,0.03208326167126257,0.30812887503704633,0.03353760111123021,0.3133063157288602,0.042909889145678275,0.6376190024222833,0.03978227968093813
45,0.4852857951329938,0.031008936896826465,0.3098052090172904,0.025483591805764073,0.5651205757379141,0.041169747756908036,0.6693302665426714,0.03254521660932297,0.31533312842482797,0.027004558263982494,0.31913063938232916,0.03748333077491788,0.6408599946419944,0.04063743689618892
46,0.490096208262592,0.028928982273077657,0.3134165025169621,0.02417481765438839,0.5702833463186388,0.039314489549564346,0.6735832379595411,0.031077749726354294,0.3187407243037455,0.025695612837593997,0.32179978011095955,0.03700905223478592,0.6458064465213139,0.03898879657987934
47,0.49490662139219016,0.03229155619967782,0.31866929306193914,0.029989272005789866,0.5748654811031666,0.04310610262147386,0.6772689002512969,0.03391875195777567,0.3240885921005222,0.031607199828517,0.32705590560643966,0.04152587728351168,0.6500526242270372,0.04243938596225479
48,0.499151103565365,0.034082953989617554,0.3266579120157584,0.034849256755654895,0.5787250304389412,0.04435915873965973,0.6798525406184903,0.03472582773554947,0.33202248865754036,0.03654576662625221,0.33296418177204246,0.04551725194991497,0.6528407848005706,0.04313300975651444
49,0.5028296547821166,0.03740285600873416,0.32906544101553953,0.03752726962934148,0.582403377957365,0.046441244122894854,0.6827086853813411,0.036201950835521614,0.33435131349505587,0.03912979304668016,0.3343484674372626,0.04675293066225853,0.6562570776411858,0.04469945302684893
50,0.5048104131295982,0.03991017169559754,0.33070693806084484,0.039028066579763696,0.5838228744829311,0.04799460624759767,0.6838197187374468,0.03747595596601667,0.33591890425431303,0.040547497967160874,0.3361682539518882,0.04833316330786236,0.6573319453699115,0.0458764781104911
51,0.5053763440860215,0.039052311583808876,0.3336616327423944,0.03558579835710685,0.5846175456682872,0.0466469021391877,0.6845355979037019,0.03628135705669116,0.33904248717821095,0.03677568369927736,0.34442475457584776,0.035367088585700646,0.6582023003828269,0.044394441972595115
52,0.5056593095642332,0.03862556514575596,0.33398993215145545,0.03572635765646598,0.5847009873770944,0.04650548866606294,0.6846338388773999,0.03611765926780245,0.33933285901185817,0.0368631453552039,0.344539515986991,0.035378334151295675,0.658214066774467,0.04437441797255944
53,0.5076400679117148,0.03568395510523546,0.3370540599693587,0.0331799031668005,0.586373277718692,0.04367565761038433,0.6858795540608942,0.03404743360476087,0.3424102510414057,0.034370939111109444,0.34691534645921784,0.03400642024318101,0.6596821885997017,0.04187866887538241
54,0.5152801358234296,0.04302657350585461,0.3448238126504706,0.03955201806121387,0.5935139624146926,0.04914917873109499,0.6911066646052934,0.0381554455145401,0.3500626273238262,0.04085482940770186,0.35180232101134734,0.03790396573540777,0.665821684536485,0.04649520805174926
55,0.5172608941709111,0.04421058282191648,0.3467936091048369,0.04113099422657546,0.5954017693592152,0.05037848607928048,0.692392578515575,0.038971013282238294,0.35212972071703263,0.04249081652841017,0.3542207782230403,0.0399621214651272,0.6673200882364669,0.04750680758361064
56,0.5206564799094511,0.04418612630660585,0.35106150142263076,0.04326748739984322,0.5988579348127677,0.05163342981664431,0.6949877160588616,0.03977578010738378,0.3562063214985949,0.04437047824387775,0.35709665538033325,0.04245893218346384,0.6704672081342141,0.0487706509687555
57,0.5206564799094511,0.04418612630660585,0.35128036769533816,0.04337032765297897,0.5988579348127677,0.05163342981664431,0.6949877160588616,0.03977578010738378,0.35642720350660057,0.04447378731565737,0.3572294529722957,0.04258407825461357,0.6704672081342141,0.0487706509687555
58,0.5314091680814941,0.03812480742425399,0.3585029546946815,0.03926987932844565,0.6114262804846117,0.042315883342101304,0.7045580208071364,0.03274546660810521,0.36380614800803746,0.039839523149236895,0.36408128437352344,0.03805330892939188,0.6823437913210856,0.03941294480138975
59,0.5342388228636106,0.036898524759938975,0.3636463121033049,0.03586185824210466,0.6147834514848161,0.040531852227064416,0.7069844620799081,0.031612430773765486,0.36914389247003926,0.03613618717737376,0.369663742096648,0.03385780024801307,0.6853341868598198,0.038013111460668145
60,0.5401810979060555,0.0343811789418654,0.3690085357846356,0.03383395796583854,0.6212938797234653,0.03727922823486182,0.7113398098344872,0.02955971683314906,0.37452716650301393,0.033720500927273044,0.37341614394907124,0.030809754851255665,0.6904682017638584,0.035794096410853286
61,0.5444255800792304,0.03537294842784841,0.37294812869336835,0.036379070685399445,0.6249932111035714,0.03980270457428494,0.7145074467638521,0.03148927254468776,0.3786599289006144,0.03644193979747858,0.3782511860887053,0.03596415765286548,0.6939313620219141,0.03829418205412218
62,0.5509337860780985,0.028624304414409836,0.3788575180564675,0.029185429707745167,0.6326251650318985,0.02898837203826154,0.7214252639556217,0.021656004410267323,0.38449768470685564,0.029383514351620524,0.3829814411543755,0.03137184866345358,0.7018565768453641,0.0263556625065199
63,0.55631013016412,0.02801786937065435,0.38629897132851826,0.028917072142096333,0.6383544998780448,0.030973964866123048,0.7254109844235954,0.022576450954260963,0.3921689850120716,0.02898376734044536,0.39054926389237105,0.0302253784773368,0.7066193360698767,0.028183659957494733
64,0.5608375778155065,0.028082096251076605,0.39111402932808054,0.025140819209056024,0.6414719611171493,0.029617837866529082,0.7277172780913993,0.021978876670808146,0.3969449607006031,0.02521050440036279,0.39412721109937704,0.028185511423067397,0.7089780300333623,0.026985532108603192
65,0.5667798528579513,0.029715417301245224,0.3975705843729481,0.02707027212698365,0.6489187633247503,0.0330107640020864,0.7334476948609908,0.024068756088738992,0.4035860717971312,0.026948355753838672,0.4008236344927614,0.024504751552778196,0.7160291045588965,0.029912148844325637
66,0.5741369552914545,0.02538659288891553,0.40194790982709566,0.02964224315154308,0.6566225561207188,0.03134759145738401,0.739152406195383,0.02274039232241859,0.40812829510731513,0.02984282408522578,0.4049684281313751,0.02898960724505013,0.7228008520619724,0.029150853233204276
67,0.5792303338992643,0.017404102223748504,0.4087327642810243,0.023336985164212627,0.6615878315326691,0.022817265891977908,0.7429258067914104,0.016204671973661863,0.41495030358303897,0.02371697244630045,0.41086450561480486,0.025147850091140057,0.7271330266290633,0.021754979644648877
68,0.5792303338992643,0.017404102223748504,0.408842197417378,0.02345752308945148,0.6615878315326691,0.022817265891977908,0.7429258067914104,0.016204671973661863,0.4150634916226089,0.02384596396451957,0.4109213633676821,0.025241503797132574,0.7271330266290633,0.021754979644648877
69,0.5797962648556876,0.017417898581225146,0.4108119938717444,0.024968747472455505,0.6624136082071073,0.023735327447677573,0.7437079727707362,0.016923573615239506,0.41715210346109094,0.025403746177784278,0.4136578832623991,0.026558520293490345,0.7280577248927689,0.022843051187152644
