"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
29,"exploit","NCCN GUIDELINES FOR PATIENTS",0.09265720081135903,10,3,0.005248161764705882,0.005248161764705882,0.8543371522094927,0.4431239388794567,0.9987113402061856,0.25443204202232433,0.526729983617773,0.25691726447756374
30,"explore",,0.1611478374292236,3,21,0.024864607728337235,,0.8550488599348535,0.4456706281833616,0.998745294855709,0.2613263296126067,0.5281201027369842,0.2631927146174946
31,"explore",,0.32798694832298647,12,36,0.06982534642032329,,0.8562300319488818,0.45500848896434637,0.9987995198079231,0.273145108338805,0.5373599142080961,0.27578878837112647
32,"exploit","ALPHA-1-ANTITRYPSIN DEFICIENCY",0.22982794943820228,12,32,0.05745698735955057,0.05745698735955057,0.8573667711598746,0.46434634974533107,0.9988439306358381,0.28365068942875904,0.5454873341410862,0.286444081496609
33,"exploit","CYSTOSCOPY",0.3515734688937301,20,46,0.061800023828975995,0.061800023828975995,0.8617021276595744,0.48132427843803055,0.9989023051591658,0.29875246224556795,0.5628997425650448,0.30094858190393325
34,"exploit","MISMATCH REPAIR",0.03510090466249131,0,3,0.005141734081419625,0.005141734081419625,0.8617021276595744,0.48132427843803055,0.9989059080962801,0.2997373604727511,0.5628997425650448,0.30191599626281024
35,"exploit","CYSTOSCOPY",0.02225661699421688,2,2,0.0037818860908141964,0.0037818860908141964,0.8621212121212121,0.4830220713073005,0.9989082969432315,0.30039395929087326,0.563400392817888,0.3025583447462482
36,"exploit","CLINICAL PRE-SURGERY STAGE",0.07763431447641975,3,7,0.008642882666320167,0.008642882666320167,0.8627450980392157,0.4855687606112054,0.9989165763813651,0.3026920551543007,0.5660362127141437,0.3048724169853478
37,"exploit","TUMOR MUTATION TESTING",0.0,2,0,0.0,0.0,0.8616541353383459,0.4864176570458404,0.9989165763813651,0.3026920551543007,0.5662865378405654,0.3048724169853478
38,"exploit","NASOPHARYNGEAL CANCER",0.08134642356241235,2,8,0.014775815217391306,0.014775815217391306,0.8620689655172413,0.48811544991511036,0.9989258861439313,0.30531845042678923,0.5677884885990949,0.3076054121484286
